Age,1881-1890,1891-1900,1901-1910,1920-1922,1932-1934,1946-1948,1953-1955,1960-1962,1965-1967,1970-1972,1975-1977,1980-1982,1985-1987,1990-1992,1995-1997,2000-02,2005-07,,Source
58,0.02157,0.01916,0.01606,0.01358,0.01257,0.01149,0.01007,0.00888,0.00937,0.00912,0.00799,0.00677,0.00605,0.00539,0.00482,0.00425,0.00358,,
59,0.02274,0.02071,0.01753,0.01459,0.01355,0.01248,0.01098,0.00974,0.01018,0.01,0.00871,0.0074,0.0066,0.0059,0.00527,0.00466,0.00395,,
60,0.02395,0.02245,0.0192,0.01571,0.01466,0.0136,0.01203,0.01074,0.0111,0.0109,0.0095,0.00809,0.00722,0.00648,0.00577,0.0051,0.00436,,
61,0.02526,0.02425,0.02101,0.01696,0.01596,0.01487,0.0132,0.01188,0.01213,0.0119,0.01037,0.00886,0.00793,0.00712,0.00632,0.00557,0.00479,,
62,0.02667,0.02615,0.02297,0.01839,0.0175,0.01626,0.01452,0.01314,0.0133,0.01299,0.01134,0.0097,0.00872,0.00783,0.00694,0.00607,0.00524,,
63,0.0283,0.02815,0.02512,0.02005,0.01931,0.01775,0.01598,0.01454,0.01461,0.01423,0.01241,0.01063,0.00963,0.00862,0.00764,0.00662,0.00572,,
64,0.03096,0.03023,0.02745,0.02199,0.02136,0.01941,0.01762,0.01606,0.01608,0.01546,0.01361,0.01167,0.01065,0.00951,0.00842,0.00722,0.00623,,
65,0.0355,0.03239,0.02998,0.02426,0.02365,0.02133,0.01943,0.01769,0.01774,0.01692,0.01493,0.01283,0.01179,0.01049,0.00929,0.00789,0.00679,,
66,0.04062,0.03473,0.03272,0.02688,0.02615,0.02358,0.02148,0.0195,0.01961,0.01884,0.0164,0.01413,0.01308,0.01158,0.01028,0.00867,0.00743,,
67,0.0447,0.03721,0.03577,0.02985,0.02885,0.0262,0.02378,0.02151,0.02172,0.02071,0.01802,0.01559,0.01451,0.0128,0.01139,0.00955,0.00817,,
68,0.04782,0.04,0.03916,0.0332,0.0317,0.02915,0.02638,0.02379,0.02414,0.0232,0.01981,0.0172,0.0161,0.01418,0.01262,0.01057,0.00902,,
69,0.05029,0.04316,0.04314,0.0369,0.03472,0.03245,0.02927,0.02638,0.02683,0.02571,0.02178,0.01899,0.01786,0.01574,0.014,0.01174,0.01001,,
70,0.05219,0.04672,0.04777,0.0409,0.03802,0.03607,0.0325,0.02933,0.02981,0.02875,0.02398,0.02098,0.01979,0.01751,0.01553,0.01308,0.01115,,
71,0.05413,0.05084,0.05304,0.0453,0.04173,0.04003,0.03608,0.03266,0.03308,0.03213,0.02648,0.02317,0.02192,0.0195,0.01722,0.01462,0.01246,,
72,0.05716,0.0557,0.05887,0.0502,0.04596,0.04429,0.04007,0.03641,0.03665,0.03573,0.0293,0.02563,0.02426,0.02176,0.01909,0.01637,0.01397,,
