Age,1881-1890,1891-1900,1901-1910,1920-1922,1932-1934,1946-1948,1953-1955,1960-1962,1965-1967,1970-1972,1975-1977,1980-1982,1985-1987,1990-1992,1995-1997,2000-2002,2005-07,,Source
0,0.13248,0.1184,0.0951,0.07132,0.04543,0.03199,0.02521,0.02239,0.02093,0.01949,0.01501,0.01147,0.0103,0.00814,0.0061,0.00567,0.00523,,http://www.aga.gov.au/publications/life_tables_2005-07/
1,0.03493,0.02636,0.0178,0.0146,0.00775,0.00327,0.00276,0.00181,0.00189,0.0015,0.00119,0.00093,0.00075,0.00064,0.00059,0.00044,0.0004,,
2,0.01368,0.00976,0.00675,0.00625,0.00378,0.00197,0.00179,0.0012,0.00103,0.00099,0.00081,0.00072,0.00054,0.00047,0.0004,0.00031,0.00028,,
3,0.00887,0.00627,0.00439,0.00423,0.00287,0.00146,0.00132,0.0009,0.00083,0.00083,0.00068,0.00056,0.00048,0.00034,0.00031,0.00025,0.00018,,
4,0.00688,0.00496,0.00349,0.003,0.00214,0.00121,0.001,0.00066,0.00061,0.00066,0.00051,0.00047,0.00038,0.00025,0.00024,0.00019,0.00014,,
5,0.00537,0.00398,0.00281,0.00252,0.00184,0.00107,0.00078,0.00058,0.00052,0.00056,0.00045,0.0004,0.00031,0.00021,0.00019,0.00017,0.00013,,
6,0.00432,0.00329,0.00235,0.00214,0.00161,0.00094,0.00071,0.00055,0.00048,0.0005,0.0004,0.00035,0.00026,0.0002,0.00017,0.00015,0.00012,,
7,0.00372,0.0029,0.00209,0.0019,0.00143,0.00084,0.00065,0.00053,0.00045,0.00045,0.00036,0.00032,0.00024,0.00019,0.00015,0.00014,0.00011,,
8,0.00329,0.0026,0.00196,0.00174,0.0013,0.00077,0.00061,0.0005,0.00043,0.00041,0.00033,0.0003,0.00024,0.00018,0.00014,0.00013,0.0001,,
9,0.0029,0.00239,0.00184,0.00163,0.00123,0.00073,0.00058,0.00044,0.00041,0.00038,0.00031,0.00029,0.00024,0.00018,0.00015,0.00012,0.0001,,
10,0.00253,0.00225,0.00179,0.00156,0.00119,0.00072,0.00056,0.00041,0.0004,0.00036,0.00031,0.00028,0.00025,0.00018,0.00015,0.00013,0.0001,,
11,0.00232,0.00214,0.00179,0.00154,0.00119,0.00075,0.00056,0.00042,0.0004,0.00038,0.00032,0.00028,0.00027,0.00017,0.00016,0.00014,0.00011,,
12,0.00232,0.00214,0.00184,0.00154,0.00123,0.00082,0.00062,0.00046,0.00043,0.0004,0.00036,0.0003,0.00029,0.00018,0.00017,0.00016,0.00012,,
13,0.00253,0.0023,0.00198,0.00159,0.00129,0.00091,0.00074,0.00053,0.00048,0.00045,0.00041,0.00034,0.00031,0.00022,0.00021,0.00019,0.00013,,
14,0.00297,0.00253,0.00225,0.00169,0.00138,0.00102,0.0009,0.00062,0.00059,0.00056,0.00049,0.00042,0.00035,0.0003,0.00028,0.00023,0.00016,,
15,0.00372,0.0029,0.00255,0.00184,0.00149,0.00115,0.00109,0.00075,0.00079,0.00076,0.0007,0.00057,0.0005,0.00044,0.00039,0.0003,0.00022,,
16,0.00464,0.00329,0.00281,0.00202,0.00162,0.00127,0.00129,0.00095,0.00104,0.00113,0.00108,0.00085,0.00077,0.00063,0.00056,0.00046,0.00035,,
17,0.00544,0.0037,0.00303,0.00223,0.00175,0.00138,0.00149,0.00123,0.00139,0.00162,0.00155,0.00127,0.00112,0.00084,0.00079,0.00073,0.00054,,
18,0.00608,0.00409,0.00331,0.00245,0.00189,0.00149,0.00166,0.00163,0.00168,0.00208,0.00208,0.00166,0.00142,0.00103,0.00104,0.00094,0.0007,,
19,0.00663,0.00443,0.00349,0.00265,0.00204,0.0016,0.00179,0.00175,0.00188,0.00219,0.00217,0.00181,0.00158,0.00117,0.00117,0.00096,0.00073,,
20,0.00714,0.00473,0.0037,0.00284,0.00219,0.00169,0.00186,0.00173,0.00194,0.00216,0.00201,0.00179,0.00161,0.00126,0.0012,0.00096,0.00074,,
21,0.00757,0.00503,0.00391,0.00302,0.00233,0.00174,0.00188,0.0017,0.00185,0.00208,0.00184,0.00167,0.00159,0.0013,0.00121,0.00098,0.00076,,
22,0.00791,0.00533,0.00404,0.00318,0.00243,0.00175,0.00186,0.00165,0.00174,0.00188,0.00169,0.00159,0.00155,0.00131,0.00122,0.00101,0.00077,,
23,0.00821,0.00563,0.00418,0.00333,0.00246,0.00172,0.00181,0.00158,0.00164,0.00168,0.00157,0.00154,0.00149,0.0013,0.00123,0.00106,0.00079,,
24,0.00848,0.00595,0.00434,0.00346,0.00248,0.00167,0.00175,0.00152,0.00151,0.00156,0.00147,0.0015,0.00143,0.0013,0.00124,0.0011,0.00081,,
25,0.00862,0.00617,0.00448,0.00355,0.00249,0.00163,0.0017,0.00147,0.00146,0.00143,0.00139,0.00146,0.00138,0.0013,0.00125,0.00114,0.00083,,
26,0.00867,0.00638,0.00464,0.00362,0.0025,0.00163,0.00167,0.00145,0.00146,0.00136,0.00134,0.00142,0.00135,0.0013,0.00126,0.00117,0.00085,,
27,0.00867,0.00659,0.00478,0.00368,0.00251,0.00166,0.00165,0.00147,0.00147,0.00135,0.0013,0.00138,0.00134,0.0013,0.00127,0.00118,0.00088,,
28,0.00867,0.00672,0.00494,0.00374,0.00256,0.00171,0.00165,0.0015,0.00147,0.00136,0.00128,0.00134,0.00132,0.0013,0.00128,0.00119,0.0009,,
29,0.00867,0.00682,0.00503,0.00381,0.00263,0.00178,0.00167,0.00153,0.00148,0.0014,0.00127,0.0013,0.0013,0.0013,0.0013,0.00119,0.00093,,
30,0.00867,0.00698,0.00519,0.0039,0.00271,0.00186,0.0017,0.00157,0.0015,0.00144,0.00128,0.00126,0.00129,0.00131,0.00131,0.00119,0.00095,,
31,0.00871,0.00718,0.0054,0.00401,0.00281,0.00194,0.00174,0.00161,0.00157,0.00148,0.00133,0.00125,0.00129,0.00132,0.00133,0.0012,0.00098,,
32,0.0088,0.00736,0.00558,0.00414,0.00293,0.00201,0.0018,0.00167,0.00164,0.00152,0.00138,0.00125,0.00129,0.00133,0.00136,0.00121,0.00101,,
33,0.00896,0.00762,0.00579,0.0043,0.00308,0.00208,0.00187,0.00174,0.00176,0.00158,0.00145,0.00127,0.0013,0.00135,0.00138,0.00122,0.00105,,
34,0.00921,0.00791,0.00604,0.0045,0.00326,0.00217,0.00195,0.00183,0.00188,0.0017,0.00155,0.00132,0.00132,0.00138,0.00142,0.00125,0.00108,,
35,0.00951,0.00821,0.00633,0.00475,0.00346,0.00228,0.00205,0.00194,0.00203,0.00187,0.00167,0.00139,0.00136,0.00142,0.00145,0.00128,0.00112,,
36,0.00981,0.00851,0.00663,0.00503,0.00368,0.00243,0.00218,0.00208,0.0022,0.00201,0.00181,0.00149,0.00141,0.00147,0.0015,0.00133,0.00117,,
37,0.0101,0.0088,0.00698,0.00531,0.0039,0.00262,0.00234,0.00226,0.00239,0.00216,0.00198,0.00161,0.00148,0.00152,0.00155,0.00138,0.00123,,
38,0.01044,0.0091,0.00736,0.00559,0.00413,0.00283,0.00252,0.00247,0.00261,0.00238,0.00218,0.00176,0.00157,0.00159,0.00161,0.00144,0.00129,,
39,0.01083,0.0094,0.00778,0.00587,0.00435,0.00308,0.00273,0.00272,0.00285,0.00262,0.00241,0.00193,0.00168,0.00167,0.00167,0.00151,0.00136,,
40,0.01129,0.00969,0.00816,0.00617,0.0046,0.00337,0.00297,0.003,0.00311,0.00283,0.00267,0.00214,0.00181,0.00177,0.00174,0.00159,0.00145,,
41,0.01177,0.00999,0.0086,0.00651,0.00489,0.00371,0.00324,0.0033,0.0034,0.00311,0.00296,0.00238,0.00197,0.00188,0.00182,0.00169,0.00154,,
42,0.01231,0.01033,0.0091,0.0069,0.00523,0.00409,0.00355,0.00364,0.00374,0.0035,0.00329,0.00266,0.00216,0.00201,0.00192,0.00179,0.00165,,
43,0.0129,0.01079,0.00965,0.00735,0.00563,0.00452,0.0039,0.00401,0.00411,0.00389,0.00366,0.00296,0.00237,0.00217,0.00203,0.00191,0.00176,,
44,0.01356,0.01129,0.01024,0.00786,0.00609,0.005,0.00431,0.00441,0.00453,0.0043,0.00407,0.00331,0.00262,0.00235,0.00216,0.00204,0.0019,,
